Origin,Year,Month,Cancelled,Cancelled,Delayed,Delayed,TotalFlights,DepDelay,ArrDelay,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
LGB,2008,8,17.0,0.011612021857923498,665.0,0.4542349726775956,1464.0,10.228058051140291,6.430854760250174,998.0710382513661,21.511029411764707,0.5661764705882353,13.327205882352942,0.04779411764705882,20.209558823529413
LGB,2008,9,2.0,0.0017683465959328027,234.0,0.20689655172413793,1131.0,1.8963684676705048,-0.8786536758193091,996.709106984969,17.6875,0.5546875,16.671875,0.2734375,14.671875
LGB,2008,10,1.0,0.0008291873963515755,285.0,0.236318407960199,1206.0,0.541908713692946,-2.2983333333333333,983.7222222222222,13.495934959349594,0.4146341463414634,12.902439024390244,0.008130081300813009,13.59349593495935
LGB,2008,11,9.0,0.007401315789473684,336.0,0.27631578947368424,1216.0,3.507870753935377,1.1784232365145229,960.6208881578947,12.373417721518987,4.5,27.829113924050635,0.0,14.943037974683545
LGB,2008,12,31.0,0.02448657187993681,591.0,0.466824644549763,1266.0,23.893927125506075,19.627944760357433,967.0497630331754,30.149863760217983,2.4904632152588557,11.817438692098092,0.1880108991825613,37.67029972752044
LIH,2008,1,8.0,0.005835156819839533,175.0,0.1276440554339898,1371.0,-3.3793103448275863,-2.3208516886930983,477.30780452224656,11.432835820895523,0.0,6.059701492537314,0.2537313432835821,24.686567164179106
LIH,2008,2,4.0,0.0030864197530864196,198.0,0.1527777777777778,1296.0,-1.8018575851393188,0.46439628482972134,466.1983024691358,14.721153846153847,0.09615384615384616,7.355769230769231,0.0,21.33653846153846
LIH,2008,3,7.0,0.008009153318077803,113.0,0.12929061784897025,874.0,-1.392156862745098,-0.019653179190751446,619.4588100686499,25.757142857142856,0.0,6.942857142857143,0.0,13.085714285714285
LIH,2008,4,16.0,0.015384615384615385,256.0,0.24615384615384617,1040.0,1.5400390625,2.031311154598826,506.8942307692308,17.2265625,0.0,3.828125,0.0,17.5859375
LIH,2008,5,6.0,0.005529953917050691,247.0,0.22764976958525346,1085.0,1.1733086190917517,3.5449490268767376,507.4027649769585,14.604026845637584,0.0,7.530201342281879,0.28187919463087246,16.959731543624162
